Month,Zone - A,Zone - B,Zone - C,Zone - D
Month - 1,1483525,1748451,1523308,2267260
Month - 2,1238428,1707421,2212113,1994341
Month - 3,1860771,2091194,1282374,1241600
Month - 4,1871571,1759617,2290580,2252681
Month - 5,1244922,1606010,1818334,1326062
Month - 6,1534390,1573128,1751825,2292044
Month - 7,1820196,1992031,1786826,1688055
Month - 8,1625696,1665534,2161754,2363315
Month - 9,1652644,1873402,1755290,1422059
Month - 10,1852450,1913059,1754314,1608387
Month - 11,2004480,1740365,1317869,1970069
Month - 12,1537539,1875658,1237722,1460165
Month - 13,1254939,1588473,1348629,1733383
Month - 14,1821799,1844081,1617376,1872259
Month - 15,1128185,1804613,1767047,1234311
Month - 16,1491534,1542053,1882159,1590913
Month - 17,1182110,1552388,2234469,2180416
Month - 18,1770324,1699213,1249821,2364132
Month - 19,1181635,1959268,2009168,1821882
Month - 20,1305972,1559670,2107949,2151008
Month - 21,1570152,2013615,1540016,2265814
Month - 22,1481619,1527574,2255729,2295079
Month - 23,1887694,1992155,1348387,1459683
Month - 24,1880820,1752873,2098463,2052591
Month - 25,1256333,1622671,1521792,1695122
Month - 26,1422853,1715465,1853636,1520406
Month - 27,1384426,1983163,1611169,1289160
Month - 28,1616640,1547991,2128022,2178267
Month - 29,1310654,1660092,1947119,1854412
